,CMPD_CHEMBLID,exp,smiles,mol,molwt
27,CHEMBL528217,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777A00>,550.7500000000003
28,CHEMBL2177621,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777A70>,411.52700000000027
29,CHEMBL475386,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777AE0>,323.38100000000003
30,CHEMBL2325699,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777B50>,424.5260000000003
31,CHEMBL2010845,3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777BC0>,476.4780000000002
32,CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777C30>,314.46900000000005
33,CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777CA0>,501.43200000000036
34,CHEMBL1796293,2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777D10>,329.35900000000004
35,CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777D80>,326.42500000000007
36,CHEMBL2031236,2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777DF0>,460.56300000000016
37,CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777E60>,516.0050000000002
38,CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777ED0>,461.5910000000002
39,CHEMBL339051,2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777F40>,678.6609999999998
40,CHEMBL168899,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0040>,238.055
41,CHEMBL517,-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F00B0>,339.48300000000006
42,CHEMBL578288,2.91,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0120>,258.31000000000006
43,CHEMBL1778648,-0.4,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0190>,416.4170000000001
44,CHEMBL1778635,-0.16,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0200>,339.24399999999997
45,CHEMBL1234354,2.2,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0270>,425.4890000000003
46,CHEMBL1550278,3.4,CC(Nc1ncnc2ccccc12)c3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F02E0>,249.31700000000004
47,CHEMBL1096,1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0350>,298.298
48,CHEMBL1807822,2.28,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F03C0>,482.60200000000015
49,CHEMBL1310086,3.47,COc1ccccc1Cn2c(C)nc3ccccc23,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0430>,252.31699999999998
50,CHEMBL373364,3.0,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F04A0>,490.46200000000016
51,CHEMBL484901,-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0510>,204.22899999999998
52,CHEMBL1233652,1.95,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0580>,380.4190000000001
53,CHEMBL2059196,-0.99,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F05F0>,444.3730000000001
54,CHEMBL1934414,2.0,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0660>,446.6170000000002
55,CHEMBL1415894,3.8,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F06D0>,250.30500000000004
56,CHEMBL2335875,3.21,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0740>,399.4540000000001
57,CHEMBL1916269,0.36,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F07B0>,364.4710000000002
58,CHEMBL1224139,2.14,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0820>,354.425
59,CHEMBL1082812,1.71,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0890>,333.41600000000005
60,CHEMBL12980,1.19,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0900>,337.41900000000004
61,CHEMBL1412343,2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0970>,388.308
62,CHEMBL453862,2.77,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F09E0>,382.44300000000015
63,CHEMBL296572,3.8,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0A50>,250.30100000000002
64,CHEMBL239513,2.87,O=C(COc1ccccc1)c2ccccc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0AC0>,212.248
65,CHEMBL479445,1.91,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0B30>,415.4440000000002
66,CHEMBL2152917,3.4,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0BA0>,369.5090000000001
67,CHEMBL299672,3.13,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0C10>,430.9110000000004
68,CHEMBL1682820,3.0,O=C1CCOc2cc(COc3ccccc3)ccc12,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0C80>,254.28500000000003
69,CHEMBL247367,2.33,Clc1cccc2cn[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0CF0>,152.58399999999997
70,CHEMBL2010834,2.8,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0D60>,447.5010000000001
71,CHEMBL1945293,-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0DD0>,417.53100000000006
72,CHEMBL1652588,3.16,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0E40>,499.9620000000003
73,CHEMBL190812,2.91,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0EB0>,318.376
74,CHEMBL235392,1.55,Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0F20>,444.01900000000035
75,CHEMBL62193,0.2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F0F90>,310.3350000000001
76,CHEMBL1784338,1.43,Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1000>,439.57800000000026
77,CHEMBL1650698,2.47,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1070>,358.35600000000005
78,CHEMBL2062583,2.48,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F10E0>,429.48400000000015
79,CHEMBL4,-0.45,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1150>,361.37300000000005
80,CHEMBL2158534,2.0,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F11C0>,412.53400000000033
81,CHEMBL492234,2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1230>,392.45800000000014
82,CHEMBL131921,3.5,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F12A0>,284.26700000000005
83,CHEMBL21731,0.89,CNCCCC12CCC(c3ccccc13)c4ccccc24,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1310>,277.41100000000006
84,CHEMBL346528,1.3,Oc1cc(nc2ccnn12)c3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1380>,211.22400000000002
85,CHEMBL133501,2.01,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F13F0>,405.35700000000014
86,CHEMBL2087854,3.59,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1460>,513.9890000000003
87,CHEMBL1689126,0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F14D0>,416.9050000000002
88,CHEMBL1650728,2.6,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1540>,409.223
89,CHEMBL2178942,1.3,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F15B0>,385.43900000000014
90,CHEMBL1800528,2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1620>,268.32
91,CHEMBL143305,3.72,Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1690>,355.2210000000002
92,CHEMBL2326481,1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1700>,380.5170000000001
93,CHEMBL15245,1.65,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1770>,354.45000000000005
94,CHEMBL1852688,3.7,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F17E0>,560.4860000000003
95,CHEMBL2171169,2.2,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1850>,540.6690000000002
96,CHEMBL2216830,2.04,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F18C0>,656.6150000000001
97,CHEMBL381098,4.49,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1930>,456.55500000000023
98,CHEMBL284275,0.2,COc1ccc(Cc2c(N)n[nH]c2N)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F19A0>,218.26
99,CHEMBL2177167,2.0,CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1A10>,469.5710000000002
100,CHEMBL2331746,1.49,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1A80>,457.50800000000015
101,CHEMBL1712280,4.28,C1Oc2ccccc2C3=NN(CC13)c4ccccc4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1AF0>,250.301
102,CHEMBL1790041,-0.95,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1B60>,314.411
103,CHEMBL1184060,1.64,CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1BD0>,410.86100000000016
104,CHEMBL1502799,2.02,FC(F)c1nc2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1C40>,168.146
105,CHEMBL2208436,3.09,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1CB0>,434.36700000000025
106,CHEMBL480445,2.18,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1D20>,427.45500000000027
107,CHEMBL1392670,4.4,Oc1ccccc1OC(=O)c2cccc3ccccc23,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1D90>,264.28000000000003
108,CHEMBL1455477,3.28,COc1ccccc1CNc2cc(C)ccn2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1E00>,228.295
109,CHEMBL1939414,3.04,Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1E70>,305.13899999999995
110,CHEMBL1617016,3.12,Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1EE0>,340.22400000000005
111,CHEMBL2207600,0.06,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1F50>,512.5840000000002
112,CHEMBL244213,2.49,OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F1FC0>,248.228
113,CHEMBL404957,1.11,CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2030>,327.381
114,CHEMBL520252,2.81,CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F20A0>,403.4820000000001
115,CHEMBL190747,3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2110>,364.40100000000007
116,CHEMBL1079175,2.5,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2180>,407.4770000000001
117,CHEMBL1499868,4.48,CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F21F0>,366.4680000000001
118,CHEMBL1824042,1.33,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2260>,471.9450000000002
119,CHEMBL2158827,1.83,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F22D0>,477.43200000000024
120,CHEMBL520925,3.6,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2340>,375.7870000000001
121,CHEMBL181502,3.2,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)C4CCC4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F23B0>,390.5710000000003
122,CHEMBL1962631,-0.56,NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2420>,320.744
123,CHEMBL470915,3.53,Nc1c(NC2CC3CCC2C3)nc(nc1N4CCOCC4)C#N,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2490>,314.3930000000001
124,CHEMBL1163803,4.3,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2500>,491.6260000000003
125,CHEMBL598194,2.88,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2570>,384.8710000000001
126,CHEMBL42,3.08,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F25E0>,326.8310000000001
127,CHEMBL2178954,1.0,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2650>,353.42200000000014
128,CHEMBL373250,2.4,Cn1ncnc1COc2nn3c(nnc3cc2C(C)(C)C)c4cc(F)ccc4F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F26C0>,399.4050000000001
129,CHEMBL1169388,1.89,CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2730>,309.33099999999996
130,CHEMBL2171046,1.52,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F27A0>,526.4860000000003
131,CHEMBL144960,3.33,O=C1C=COc2cc(OCc3ccccc3)ccc12,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2810>,252.269
132,CHEMBL271023,0.79,[O-][S+](c1ccccc1)c2ccc3nnnn3n2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F2880>,245.267
133,CHEMBL90531,3.2,[O-][N+](=O)c1ccc2OC(CN(c2c1)c3cccc[n+]3[O-])(C(F)F)C(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7F28F0>,373.262
